Ob,X500.Level,ADJOE,ADJDE,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,X2P_O,X2P_D,X3P_O,X3P_D,WAB,YEAR,NCAA,Power.Rating,Adjusted.Tempo
1,YES,129.1,93.6,54.8,47.7,12.4,15.8,32.1,23.7,36.2,22.4,54.8,44.7,36.5,37.5,11.3,2015,YES,LARGE,59.3
2,YES,117.8,86.3,56.6,41.1,16.2,17.1,30,26.2,39,26.9,56.3,40,38.2,29,7.7,2017,YES,LARGE,71.5
3,YES,121,91.5,51.7,48.1,16.2,18.6,41.3,25,34.3,31.6,51,46.3,35.5,33.9,8.4,2017,YES,LARGE,72.8
4,YES,115.9,84.5,50.6,44.8,18.3,27,38.2,33.3,40,34.9,50.8,43.4,33.3,31.8,9,2013,YES,LARGE,67.1
5,YES,109.4,87.4,47.7,44,17.2,21.3,34.7,30.8,38.7,33.3,48.4,43.3,30.7,30.3,5.8,2015,YES,LARGE,65.6
6,YES,122.3,92.9,55.9,46.4,17.5,17.3,38.8,30,34.6,22.3,56,45.4,37.2,32,6.6,2018,YES,LARGE,70.9
7,YES,113.2,96.4,53.2,48.4,17.8,19.4,32.3,29.8,37,32.4,53.6,45.4,35,35.5,0.9,2018,YES,LARGE,72.5
8,YES,109.6,93.7,52.6,49.1,17.2,21.6,25.9,31.9,33.8,36.8,53.4,48.9,34.1,33,2.5,2018,YES,LARGE,66.5
9,YES,115.6,97.9,51.9,51.6,18.4,17.5,34.5,25.5,41.1,33.4,52,52.5,34.5,33.4,1.6,2017,YES,LARGE,68.4
10,YES,120.2,93.1,57.9,44.2,16.1,17.1,33.9,28,38.7,30.5,57,42,40,33,7.8,2015,YES,LARGE,65.2
11,YES,116.2,87.4,51.7,42.3,15.7,19.1,36.4,27.3,41,34.2,50.7,40.2,36.4,32,9.4,2014,YES,LARGE,64.3
12,YES,113,99.1,52.4,48.8,18.1,18.8,33.9,28.8,40.6,43,50.4,48.3,37.7,33.2,0.6,2014,YES,LARGE,65.4
13,YES,118.4,91.5,53.9,45.5,15.6,20.4,28.8,32.3,39.2,32.7,50.8,46.2,39.9,29,7.5,2013,YES,LARGE,67.8
14,YES,111.9,93.6,50,47.3,18.1,20.4,33.5,35.3,35.4,28,47.2,48.1,36,30.7,-0.3,2016,NO,LARGE,65.5
15,YES,119.9,91,55.2,43.9,18.5,14.9,33.9,26.4,33.6,27.5,54.3,41.9,37.8,31.6,10.7,2019,YES,LARGE,68.6
16,YES,118.2,94.1,54.3,47.2,18.3,17.7,31.2,30.5,33,28.3,48.2,45.3,42.2,33.7,8,2016,YES,LARGE,70.8
17,YES,110.5,95.4,57.7,47.4,19.1,19.4,22.1,25.9,32.2,25.2,56.6,47.1,39.8,32,2,2018,YES,LARGE,66.4
18,YES,120.3,84,51.5,39.6,16.3,21.3,39.5,31.8,43.9,31.7,51.2,39.1,34.9,27.1,13.1,2015,YES,LARGE,63.5
19,YES,108.7,89,47.3,45.5,18.4,24.3,34,31.6,40.2,44.5,45.9,45.4,33.4,30.6,1.7,2017,YES,LARGE,69.6
20,YES,115.9,88.4,52.2,45.4,17.5,21.3,35.3,28,42.4,31.2,51.3,43.5,35.9,33,11.7,2014,YES,LARGE,63.1
21,YES,113,87,49,42.6,18.9,23.6,38.8,34.5,36.8,35.4,48.5,42.6,33.4,28.4,5.1,2013,YES,LARGE,65.4
22,NO,107,111.7,51.2,51.7,18.3,16,31.7,33.3,32.5,33.8,49.5,47.7,36.2,38.5,-11.3,2015,NO,MEDIUM,67.6
23,NO,101.2,103.8,45.5,50,21.9,18.5,35.9,30.4,41.1,44.7,44.9,48.4,31.6,35.3,-12.6,2015,NO,MEDIUM,65
24,YES,102.1,91,48.9,43.9,20.8,21.8,32.3,29.2,47.3,46,50.1,45,30.5,27.3,-1.1,2015,NO,LARGE,65.9
25,YES,106.7,94.6,52.1,46,15.6,21.1,22.2,33.4,32.9,33.5,52.8,46.2,34,30.3,-3.5,2015,NO,LARGE,62.2
26,NO,98.2,97.3,45.3,48.3,19.2,19,31.5,30.4,35.2,31.3,45.5,46.3,29.9,34.8,-9.6,2015,NO,MEDIUM,64
27,NO,94.1,102.8,46.2,51.6,21.7,20.9,27.2,32.1,41.5,44.5,45.2,50.6,32,35.7,-12.8,2015,NO,SMALL,63.4
28,YES,102.4,98.5,47.1,48.4,18.9,19.7,35,29,37.9,33.9,47.1,45.3,31.4,36.2,-5.4,2015,NO,LARGE,65
29,NO,96.4,100.2,47.7,50,19.5,18.5,20.7,27.9,37.8,39.3,46.9,50.5,32.8,32.8,-11.6,2016,NO,MEDIUM,69.6
30,YES,108.8,98.6,51.6,49.7,17.4,17.1,25.1,26.9,31.5,33.4,51.9,45.8,34.1,38.1,-5.2,2017,NO,LARGE,69.7
31,YES,107.2,100.4,49.7,49.9,17.6,20.9,33,31,42.4,41.5,48.5,48.1,34.8,35.3,-4.6,2017,NO,LARGE,70
32,NO,108.3,106.8,55.5,54.4,20.2,18.4,25.8,27.5,31.8,29.2,59.5,52.5,33.7,38.3,-9.6,2018,NO,MEDIUM,67.2
33,NO,101.4,105.6,49.1,52.1,18.2,16.1,27.9,26.7,31.8,30.8,49.1,51.5,32.6,35.3,-9.8,2018,NO,MEDIUM,70.1
34,NO,106.4,109.6,52.5,51.5,18.6,16.5,27.2,29.7,25.1,33.2,47.9,51.2,40,34.7,-12.8,2018,NO,MEDIUM,67.6
35,NO,104.5,99.9,48.8,49.6,13.9,16.2,23.5,24.5,34.6,24.6,47.7,48.9,33.7,33.7,-8.1,2018,NO,LARGE,71.6
36,YES,111.1,98.9,56.1,47.9,18.8,16.8,26.9,27.4,32.1,23.8,59.5,47.7,33.2,32.1,-2.3,2019,NO,LARGE,66.1
37,YES,102.8,103.9,50.1,50.2,18.9,18.2,29,27.2,34.2,30.6,50.5,51.6,33,32,-6.8,2019,NO,MEDIUM,69.2
38,NO,102.6,108.6,51.1,51.2,20.2,16.8,31.5,27.1,31.3,41.4,50.2,50.6,35,35,-13.8,2019,NO,MEDIUM,69
39,NO,105.3,105.3,48,51.7,13.5,15.7,22,24.4,31.7,27.1,47.8,49.9,32.2,36,-10.5,2019,NO,MEDIUM,69.8
40,YES,106.1,90.8,47.3,46.4,17.9,21.1,33.5,31.3,35.4,30,48.3,45.9,30,31.4,-0.3,2015,NO,LARGE,66.4
41,NO,105.5,104.8,51.5,50.8,18.1,18.9,26,36.6,31.9,33.8,47.7,49.6,38.9,35.1,-8.9,2015,NO,MEDIUM,64.2
