Ob,X500.Level,ADJOE,ADJDE,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,X2P_O,X2P_D,X3P_O,X3P_D,WAB,YEAR,NCAA,Power.Rating,Adjusted.Tempo,W.P
1,YES,111.3,98.4,50,46.7,19.2,18,35,31.6,34.2,38.7,49.4,43.8,34.2,35.8,-1.1,2014,NO,LARGE,70.1,0.510391924
2,YES,108.2,99.7,51.7,52,16.4,20.2,27.2,25.5,40.9,36.8,53.7,50.9,32.6,36,-3.6,2016,NO,LARGE,70.3,0.534238767
3,YES,105.5,103.2,54.1,49.6,19.3,18.1,28.1,31.2,33.9,28.3,53,47.3,37.3,35.1,-8.8,2019,NO,MEDIUM,70.6,0.462298889
4,YES,104.1,101.8,48.8,48.9,18.4,19,34.7,28.8,27.4,30.4,49.8,49.8,31.5,31.3,-5.7,2020,NO,MEDIUM,73.9,0.594233178
5,YES,95.6,100.9,51.2,52.3,19.6,22.5,21.6,24.6,30.5,55.3,50.4,50.9,35.1,36.5,-9.4,2021,NO,MEDIUM,62.7,0.492687185
6,NO,90.4,113.5,45.8,52.6,22.7,17.2,28.4,33.5,35.3,29.2,44,50.3,32.6,38.6,-20,2013,NO,SMALL,64.9,0.079851821
7,YES,107.3,105.8,54.1,49.3,19.2,16.7,28.5,28.2,38.2,37.4,52.6,46.3,38.2,37,-6.6,2016,NO,MEDIUM,68.5,0.533233603
8,NO,103.8,104.1,52,52.8,18.1,14.7,20,28.5,27.2,27.9,50.6,52.6,36.6,35.4,-7.9,2017,NO,MEDIUM,69,0.402558927
9,YES,113.9,106.4,55,52.3,19.2,14.7,31,27.1,35.5,32.5,54.6,51.7,37,35.6,-4.2,2019,NO,LARGE,67.6,0.415789493
10,YES,115.3,98.9,51.1,51.9,15.8,20.1,31.4,32.2,34.3,24.1,49.8,51,35.7,35.6,-0.3,2017,NO,LARGE,67.8,0.372770691
11,NO,100.5,97.7,51.8,47.3,20.2,17.9,27.5,28.6,37.6,30.4,53.5,46.8,32.2,32.1,-8.6,2019,NO,MEDIUM,71.6,0.412744141
12,YES,102.4,94.9,47.1,46.6,18.4,20.1,32.4,28.4,38.9,32.9,45.5,44.5,34.3,34,-1.3,2015,NO,LARGE,61.6,0.693561295
13,NO,104.9,106.1,53.9,52.2,16.4,16.6,22,24.8,26.2,32.5,52.1,51.2,37.3,35.9,-10.1,2018,NO,MEDIUM,65.6,0.422360139
14,YES,96.7,104.7,49.6,49.2,20.3,20.7,27.4,28.9,38.2,42.6,46.1,48,37,33.9,-9,2019,NO,SMALL,70.2,0.598146195
15,YES,107.3,102.8,51.4,48.9,18.2,18.8,28.3,35.2,39.9,33.5,50.9,48.3,34.9,33.7,-5.2,2013,NO,LARGE,68.7,0.506413373
16,YES,105.4,100.4,49.9,49.7,22,20.6,30.9,36.6,40.4,34.8,48.9,47.1,34.8,36.8,-3,2013,NO,LARGE,66,0.51043816
17,YES,109.1,102.1,53.8,48.8,17.6,19.2,29.2,31,32.4,36.3,52.5,46,37,35.8,-3.6,2016,NO,LARGE,72.6,0.580724802
18,NO,102.2,112.1,49.6,55.7,19.5,20.2,33.8,29.6,42.4,35.7,49.3,54.3,33.4,39,-13.1,2019,NO,SMALL,75.1,0.344527983
19,NO,105.5,108,51.4,53.8,17.8,17.4,25.9,29.8,37,34.1,51.3,52.8,34.4,37.3,-13.9,2019,NO,MEDIUM,72.8,0.288575248
20,YES,98.9,99,49.4,47.5,19.2,21.6,31.1,29.6,35.6,37.7,49,46.6,33.4,32.7,-5.4,2015,NO,MEDIUM,64.6,0.520584989
21,YES,109.4,97.6,49.9,50.6,15.7,20.6,26.9,29.2,32.5,33.9,50.1,51.5,33,32.9,1.8,2019,YES,LARGE,70.2,0.592190557
22,NO,99.2,115.4,46,56.1,18.8,18.8,34,31.2,35.5,38.6,44.4,54.2,32.8,39.7,-18.9,2018,NO,SMALL,74.6,0.131499755
23,NO,92.6,105.5,44.5,50,22.2,20.6,32.2,33.1,38.7,39.5,45.1,49.1,28.4,34.2,-15,2020,NO,SMALL,67.3,0.250202611
24,NO,99.7,111.8,46.2,53.1,19.1,17,30.8,30.5,32.1,31.8,44.5,52.2,32.3,36.3,-16.5,2020,NO,SMALL,69.4,0.250685426
25,YES,108.7,103,53.9,51.6,18.6,17.6,26.3,23.8,39.2,24.1,53,51.5,36.9,34.4,-3.3,2020,NO,LARGE,69.3,0.449536856
26,NO,104.3,114.7,51.6,53.3,18.9,18.6,27.6,29.5,38.2,28.8,52.2,54.3,33.7,34.4,-14.4,2020,NO,SMALL,70.4,0.32330118
27,YES,104.1,105.3,52.1,49.5,18.7,17.9,29.7,28.4,43.9,41.3,51.2,47.6,35.8,35.2,-9.1,2016,NO,MEDIUM,72.2,0.433328165
